DataPointNumber,DataSpectralPassBand,DataFluxPublishedValue,DataFluxPublishedStatErr,DataFluxPublishedUnit,DataSpectralValue,DataFluxValue,DataFluxStatErr,DataFluxUnit,DataRefcode,DataSignificance,DataSpectralPublishedValue,DataFrequencyMode,DataTargetPos,DataSpatialMode,DataQualifiers,DataComments
142,"I' (Cousins)        ",36.49,0.89,"milliJy             ",3.75E14,0.0365,8.9E-4,Jy,1983ApJS...52..341M,1 sigma,"    8000   A         "," Broad-band measurement",12 26 33.2 +02 19 43 (     )," Flux in fixed aperture","15.4"" aperture                          ",From new raw data
143,"log nu(Hz) 14.55    ",1.45,0.02,"log f_nu (milliJy)  ",3.55E14,0.0282,0.00133,Jy,1979ApJ...230...79N,uncertainty,14.55      log nu(Hz)," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
144,"I Johnson (FLWO)    ",12.13,0.078,"mag                 ",3.41E14,0.0321,0.00229,Jy,1994ApJS...95....1E,uncertainty,"    8785   A         "," Broad-band measurement",," Flux in fixed aperture","14"" aperture                            ",From new raw data; derived from a flux in a different bandand a color
145,"I (Johnson)         ",11.974,0.01," mag                ",3.41E14,0.037,3.41E-4,Jy,2009AJ....138..845O,rms uncertainty,"      8785 A         "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
146,"I (Johnson)         ",0.028,,"Jy                  ",3.33E14,0.028,,Jy,1965ApJ...141..336L,no uncertainty reported,"      9000 A         "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
147,"z (SDSS PSF) AB     ",12.749,0.014,"asinh mag           ",3.25E14,0.0283,3.65E-4,Jy,2007SDSS6.C...0000:,based on count statistics only,"9222       A         "," Broad-band measurement",187.2779119548 2.0523862748 (J2000)," Modelled datum",SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame;,From new raw data
148,"log nu(Hz) 14.50    ",1.49,0.02,"log f_nu (milliJy)  ",3.16E14,0.0309,0.00146,Jy,1979ApJ...230...79N,uncertainty,14.50      log nu(Hz)," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
149,"log nu(Hz) 14.45    ",1.52,0.02,"log f_nu (milliJy)  ",2.82E14,0.0331,0.00156,Jy,1979ApJ...230...79N,uncertainty,14.45      log nu(Hz)," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
150,"J (ESO/SPM)         ",33.2,2.21,"milliJy             ",2.5E14,0.0332,0.00221,Jy,1995ApJ...453..616S,rms uncertainty,"1.198      microns   "," Broad-band measurement",122634.1 +021937 (B1950)," Flux in fixed aperture","15"" aperture                            ",From new raw data
151,"J (AAO)             ",11.74,,"mag                 ",2.5E14,0.033,,Jy,1982MNRAS.199..943H,no uncertainty reported,"   1.20    microns   "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data; derived from a flux in a different bandand a color
152,"J (RGO)             ",11.63,0.07,"mag                 ",2.5E14,0.0366,0.00243,Jy,1979MNRAS.186p..29G,uncertainty,"   1.20    microns   "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
153,"J (RGO)             ",11.63,0.07,"mag                 ",2.5E14,0.0366,0.00243,Jy,1981MNRAS.194..795G,uncertainty,"   1.20    microns   "," Broad-band measurement",," Flux in fixed aperture","12"" aperture                            ",From new raw data
154,"F_J (total)         ",1.63,1.04,"log milliJy         ",2.41E14,0.0427,0.011,Jy,1995ApJ...453..616S,1 sigma,"1.244      microns   "," Broad-band measurement",," Corrected to total flux from single aperture measurement","                                        ",Homogenized from new and previously published data
155,"J_20 (2MASS LGA)    ",11.726,0.017,"mag                 ",2.4E14,0.0325,5.12E-4,Jy,2003AJ....125..525J,1 sigma uncert.," 1.25      microns   "," Broad-band measurement",122906.75 +020308.4 (J2000)," Flux integrated from map","  16.2 x   16.2 arcsec integration area.",From new raw data
156,"J_Kron (2MASS LGA)  ",11.764,0.016,"mag                 ",2.4E14,0.0314,4.65E-4,Jy,2003AJ....125..525J,1 sigma uncert.," 1.25      microns   "," Broad-band measurement",122906.75 +020308.4 (J2000)," Flux integrated from map","  10.2 x   10.2 arcsec integration area.",From new raw data
157,"J_tot (2MASS LGA)   ",11.692,0.023,"mag                 ",2.4E14,0.0335,7.17E-4,Jy,2003AJ....125..525J,1 sigma uncert.," 1.25      microns   "," Broad-band measurement",122906.75 +020308.4 (J2000)," Total flux","                                        ",From new raw data
158,"J_14arcsec (2MASS)  ",11.738,0.017,"mag                 ",2.4E14,0.0321,5.07E-4,Jy,20032MASX.C.......:,1 sigma uncert.," 1.25      microns   "," Broad-band measurement",122906.75 +020308.4 (J2000)," Flux in fixed aperture","14.0 x 14.0 arcsec aperture             ",From new raw data
159,"J                   ",11.71,0.06,"mag                 ",2.4E14,0.0324,0.00179,Jy,1994ApJS...95....1E,uncertainty,"    1.25   microns   "," Broad-band measurement",," Flux in fixed aperture","1988; MMT; Beam = 5""                    ",From new raw data
160,"J                   ",11.78,0.04,"mag                 ",2.4E14,0.0304,0.00112,Jy,1994ApJS...95....1E,uncertainty,"    1.25   microns   "," Broad-band measurement",," Flux in fixed aperture","1988; IRTF; Beam = 6""                   ",From new raw data
161,"J (UKIRT)           ",11.5,0.01," mag                ",2.4E14,0.0402,3.7E-4,Jy,2007ApJ...663..781M,statistical error,"   1.250   microns   "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
162,"log nu(Hz) 14.380   ",1.49,0.02,"log f_nu (milliJy)  ",2.4E14,0.0309,0.00146,Jy,1979ApJ...230...79N,uncertainty,14.38      log nu(Hz)," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
163,"J (Mt. Lemmon)      ",11.94,0.14,"mag                 ",2.4E14,0.0251,0.00346,Jy,1978ApJ...224...22O,uncertainty,"   1.25    microns   "," Broad-band measurement",," Flux in fixed aperture","18"" aperture                            ",From new raw data
164,"J                   ",11.41,0.18,"mag                 ",2.4E14,0.0409,0.00738,Jy,1978ApJS...38..267O,uncertainty,"   1.25    microns   "," Broad-band measurement",," Flux in fixed aperture","9"" aperture                             ",From new raw data
165,"J (Mt. Lemmon)      ",11.78,0.07,"mag                 ",2.4E14,0.0291,0.00194,Jy,1978ApJ...224...22O,uncertainty,"   1.25    microns   "," Broad-band measurement",," Flux in fixed aperture","18"" aperture                            ",From new raw data
166,"J                   ",11.86,0.07,"mag                 ",2.4E14,0.0271,0.0018,Jy,1978ApJS...38..267O,uncertainty,"   1.25    microns   "," Broad-band measurement",," Flux in fixed aperture","18"" aperture                            ",Averaged new and previously published data
167,"J (Mt. Lemmon)      ",37.7,0.9,"milliJy             ",2.4E14,0.0377,9.0E-4,Jy,1982ApJ...259..486S,uncertainty,"   1.25    microns   "," Broad-band measurement",," Flux in fixed aperture","18"" aperture                            ",From new raw data; Extinction-corrected for Milky Way
168,"J (Johnson)         ",43.9,1.4,"milliJy             ",2.38E14,0.0439,0.0014,Jy,1983ApJS...52..341M,1 sigma,"   1.26    microns   "," Broad-band measurement",12 26 33.2 +02 19 43 (     )," Flux in fixed aperture","15.8"" aperture                          ",From new raw data
169,"J (Johnson)         ",71.2,2.6,"milliJy             ",2.38E14,0.0712,0.0026,Jy,1983ApJS...52..341M,1 sigma,"   1.26    microns   "," Broad-band measurement",12 26 33.2 +02 19 43 (     )," Flux in fixed aperture","9.1"" aperture                           ",From new raw data
170,"1.27 microns        ",1.51,0.04,"log milliJy         ",2.36E14,0.0324,0.00285,Jy,1987ApJS...63..615N,estimated error,"1.27       microns   "," Broad-band measurement",," Flux in fixed aperture","5"".5 aperture, 1976 May 13              ",From new raw data; Standard Caltech JHKL filters assumed
171,"1.27 microns        ",1.52,0.03,"log milliJy         ",2.36E14,0.0331,0.00221,Jy,1987ApJS...63..615N,estimated error,"1.27       microns   "," Broad-band measurement",," Flux in fixed aperture","5"".5 aperture, 1977 May 29              ",From new raw data; Standard Caltech JHKL filters assumed
172,"1.27 microns        ",1.53,0.04,"log milliJy         ",2.36E14,0.0339,0.00298,Jy,1987ApJS...63..615N,estimated error,"1.27       microns   "," Broad-band measurement",," Flux in fixed aperture","5"".5 aperture, 1979 Jul  3              ",From new raw data; Standard Caltech JHKL filters assumed
173,"1.27 microns        ",1.57,0.03,"log milliJy         ",2.36E14,0.0372,0.00248,Jy,1987ApJS...63..615N,estimated error,"1.27       microns   "," Broad-band measurement",," Flux in fixed aperture","5"".5 aperture, 1981 Jul 22              ",From new raw data; Standard Caltech JHKL filters assumed
174,"1.27 microns        ",1.63,0.04,"log milliJy         ",2.36E14,0.0427,0.00376,Jy,1987ApJS...63..615N,estimated error,"1.27       microns   "," Broad-band measurement",," Flux in fixed aperture","5"".5 aperture, 1983 Jul 25              ",From new raw data; Standard Caltech JHKL filters assumed
175,"1.27 microns        ",1.51,0.03,"log milliJy         ",2.36E14,0.0324,0.00216,Jy,1987ApJS...63..615N,estimated error,"1.27       microns   "," Broad-band measurement",," Flux in fixed aperture","5"".5 aperture, 1985 Jun  5              ",From new raw data; Standard Caltech JHKL filters assumed
176,"1.27 microns        ",1.59,0.03,"log milliJy         ",2.36E14,0.0389,0.00259,Jy,1987ApJS...63..615N,estimated error,"1.27       microns   "," Broad-band measurement",," Flux in fixed aperture","5"".5 aperture, 1981 May 11              ",From new raw data; Standard Caltech JHKL filters assumed
177,"H (ESO/SPM)         ",47.0,3.13,"milliJy             ",1.9E14,0.047,0.00313,Jy,1995ApJ...453..616S,rms uncertainty,"1.580      microns   "," Broad-band measurement",122634.1 +021937 (B1950)," Flux in fixed aperture","15"" aperture                            ",From new raw data
178,"H (Johnson)         ",60.0,1.3,"milliJy             ",1.87E14,0.06,0.0013,Jy,1983ApJS...52..341M,1 sigma,"   1.60    microns   "," Broad-band measurement",12 26 33.2 +02 19 43 (     )," Flux in fixed aperture","15.8"" aperture                          ",From new raw data
179,"H (Johnson)         ",10.79,0.05,"mag                 ",1.87E14,0.0519,0.00245,Jy,1976ApJ...207..367A,uncertainty,"   1.6     microns   "," Broad-band measurement",," Flux in fixed aperture","17"" aperture;Low quality data           ",From new raw data
180,"H (Johnson)         ",88.3,1.5,"milliJy             ",1.87E14,0.0883,0.0015,Jy,1983ApJS...52..341M,1 sigma,"   1.60    microns   "," Broad-band measurement",12 26 33.2 +02 19 43 (     )," Flux in fixed aperture","9.1"" aperture                           ",From new raw data
181,"H (AAO)             ",10.86,,"mag                 ",1.83E14,0.0467,,Jy,1982MNRAS.199..943H,no uncertainty reported,"   1.64    microns   "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data; derived from a flux in a different bandand a color
182,"H (RGO)             ",10.88,0.06,"mag                 ",1.83E14,0.0458,0.0026,Jy,1979MNRAS.186p..29G,uncertainty,"   1.64    microns   "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
183,"H (RGO)             ",10.88,0.06,"mag                 ",1.83E14,0.0458,0.0026,Jy,1981MNRAS.194..795G,uncertainty,"   1.64    microns   "," Broad-band measurement",," Flux in fixed aperture","12"" aperture                            ",From new raw data
184,"1.65 microns        ",1.76,0.05,"log milliJy         ",1.82E14,0.0575,0.00625,Jy,1987ApJS...63..615N,estimated error,"1.65       microns   "," Broad-band measurement",," Flux in fixed aperture","5"".5 aperture, 1983 Jul 25              ",From new raw data; Standard Caltech JHKL filters assumed
185,"H_20 (2MASS LGA)    ",11.006,0.017,"mag                 ",1.82E14,0.0405,6.4E-4,Jy,2003AJ....125..525J,1 sigma uncert.," 1.65      microns   "," Broad-band measurement",122906.75 +020308.4 (J2000)," Flux integrated from map","  16.2 x   16.2 arcsec integration area.",From new raw data
186,"1.65 microns        ",1.63,0.03,"log milliJy         ",1.82E14,0.0427,0.00285,Jy,1987ApJS...63..615N,estimated error,"1.65       microns   "," Broad-band measurement",," Flux in fixed aperture","5"".5 aperture, 1985 Jun  5              ",From new raw data; Standard Caltech JHKL filters assumed
187,"H_Kron (2MASS LGA)  ",11.043,0.016,"mag                 ",1.82E14,0.0392,5.82E-4,Jy,2003AJ....125..525J,1 sigma uncert.," 1.65      microns   "," Broad-band measurement",122906.75 +020308.4 (J2000)," Flux integrated from map","  10.2 x   10.2 arcsec integration area.",From new raw data
188,"H_tot (2MASS LGA)   ",10.953,0.023,"mag                 ",1.82E14,0.0426,9.11E-4,Jy,2003AJ....125..525J,1 sigma uncert.," 1.65      microns   "," Broad-band measurement",122906.75 +020308.4 (J2000)," Total flux","                                        ",From new raw data
189,"H_14arcsec (2MASS)  ",11.019,0.017,"mag                 ",1.82E14,0.0401,6.32E-4,Jy,20032MASX.C.......:,1 sigma uncert.," 1.65      microns   "," Broad-band measurement",122906.75 +020308.4 (J2000)," Flux in fixed aperture","14.0 x 14.0 arcsec aperture             ",From new raw data
190,"H                   ",10.84,0.06,"mag                 ",1.82E14,0.0469,0.00259,Jy,1994ApJS...95....1E,uncertainty,"    1.65   microns   "," Broad-band measurement",," Flux in fixed aperture","1988; MMT; Beam = 5""                    ",From new raw data
191,"H                   ",10.87,0.04,"mag                 ",1.82E14,0.0456,0.00168,Jy,1994ApJS...95....1E,uncertainty,"    1.65   microns   "," Broad-band measurement",," Flux in fixed aperture","1988; IRTF; Beam = 6""                   ",From new raw data
192,"1.65 microns        ",1.64,0.03,"log milliJy         ",1.82E14,0.0437,0.00291,Jy,1987ApJS...63..615N,estimated error,"1.65       microns   "," Broad-band measurement",," Flux in fixed aperture","5"".5 aperture, 1977 May 29              ",From new raw data; Standard Caltech JHKL filters assumed
193,"log nu(Hz) 14.260   ",1.67,0.01,"log f_nu (milliJy)  ",1.82E14,0.0468,0.00109,Jy,1979ApJ...230...79N,uncertainty,14.26      log nu(Hz)," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
194,"1.65 microns        ",1.7,0.04,"log milliJy         ",1.82E14,0.0501,0.00441,Jy,1987ApJS...63..615N,estimated error,"1.65       microns   "," Broad-band measurement",," Flux in fixed aperture","5"".5 aperture, 1981 Jul 22              ",From new raw data; Standard Caltech JHKL filters assumed
195,"H (UH)              ",10.88,0.1," mag                ",1.82E14,0.0462,0.00426,Jy,1999ApJ...512..162S,uncertainty,"    1.65   microns   "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
196,"H (UH)              ",11.04,0.1," mag                ",1.82E14,0.0399,0.00367,Jy,1999ApJ...512..162S,uncertainty,"    1.65   microns   "," Broad-band measurement",," Flux in fixed aperture","Nuclear mag                             ",From new raw data
197,"1.65 microns        ",1.69,0.03,"log milliJy         ",1.82E14,0.049,0.00327,Jy,1987ApJS...63..615N,estimated error,"1.65       microns   "," Broad-band measurement",," Flux in fixed aperture","5"".5 aperture, 1979 Jul  3              ",From new raw data; Standard Caltech JHKL filters assumed
198,"1.65 microns        ",1.64,0.03,"log milliJy         ",1.82E14,0.0437,0.00291,Jy,1987ApJS...63..615N,estimated error,"1.65       microns   "," Broad-band measurement",," Flux in fixed aperture","5"".5 aperture, 1976 May 13              ",From new raw data; Standard Caltech JHKL filters assumed
199,"1.65 microns        ",1.7,0.03,"log milliJy         ",1.82E14,0.0501,0.00335,Jy,1987ApJS...63..615N,estimated error,"1.65       microns   "," Broad-band measurement",," Flux in fixed aperture","5"".5 aperture, 1981 May 11              ",From new raw data; Standard Caltech JHKL filters assumed
200,"H (Mt. Lemmon)      ",10.97,0.04,"mag                 ",1.82E14,0.0405,0.00152,Jy,1978ApJ...224...22O,uncertainty,"   1.65    microns   "," Broad-band measurement",," Flux in fixed aperture","18"" aperture                            ",From new raw data
201,"H                   ",10.96,0.06,"mag                 ",1.82E14,0.0409,0.00232,Jy,1978ApJS...38..267O,uncertainty,"   1.65    microns   "," Broad-band measurement",," Flux in fixed aperture","9"" aperture                             ",From new raw data
202,"H                   ",10.93,0.06,"mag                 ",1.82E14,0.042,0.00239,Jy,1978ApJS...38..267O,uncertainty,"   1.65    microns   "," Broad-band measurement",," Flux in fixed aperture","18"" aperture                            ",Averaged new and previously published data
203,"H (Mt. Lemmon)      ",10.89,0.05,"mag                 ",1.82E14,0.0436,0.00206,Jy,1978ApJ...224...22O,uncertainty,"   1.65    microns   "," Broad-band measurement",," Flux in fixed aperture","18"" aperture                            ",From new raw data
204,"H (Mt. Lemmon)      ",46.9,0.4,"milliJy             ",1.82E14,0.0469,4.0E-4,Jy,1982ApJ...259..486S,uncertainty,"   1.65    microns   "," Broad-band measurement",," Flux in fixed aperture","18"" aperture                            ",From new raw data; Extinction-corrected for Milky Way
205,"K' (UH)             ",9.7,0.1," mag                ",1.41E14,0.0852,0.00784,Jy,1999ApJ...512..162S,uncertainty,"    2.12   microns   "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
206,"K' (UH)             ",9.85,0.1," mag                ",1.41E14,0.0742,0.00683,Jy,1999ApJ...512..162S,uncertainty,"    2.12   microns   "," Broad-band measurement",," Flux in fixed aperture","Nuclear mag                             ",From new raw data
207,"K_20 (2MASS LGA)    ",9.942,0.017,"mag                 ",1.38E14,0.0703,0.00111,Jy,2003AJ....125..525J,1 sigma uncert.," 2.17      microns   "," Broad-band measurement",122906.75 +020308.4 (J2000)," Flux integrated from map","  16.2 x   16.2 arcsec integration area.",From new raw data
208,"K_Kron (2MASS LGA)  ",9.976,0.016,"mag                 ",1.38E14,0.0682,0.00101,Jy,2003AJ....125..525J,1 sigma uncert.," 2.17      microns   "," Broad-band measurement",122906.75 +020308.4 (J2000)," Flux integrated from map","  10.2 x   10.2 arcsec integration area.",From new raw data
209,"K_tot (2MASS LGA)   ",9.937,0.02,"mag                 ",1.38E14,0.0707,0.00131,Jy,2003AJ....125..525J,1 sigma uncert.," 2.17      microns   "," Broad-band measurement",122906.75 +020308.4 (J2000)," Total flux","                                        ",From new raw data
210,K_s_14arcsec (2MASS),9.953,0.016,"mag                 ",1.38E14,0.0696,0.00103,Jy,20032MASX.C.......:,1 sigma uncert.," 2.17      microns   "," Broad-band measurement",122906.75 +020308.4 (J2000)," Flux in fixed aperture","14.0 x 14.0 arcsec aperture             ",From new raw data
211,"F_K (total)         ",2.0,1.41,"log milliJy         ",1.37E14,0.1,0.0259,Jy,1995ApJ...453..616S,1 sigma,"2.194      microns   "," Broad-band measurement",," Corrected to total flux from single aperture measurement","                                        ",Homogenized from new and previously published data
212,"K (RGO)             ",9.71,0.04,"mag                 ",1.37E14,0.0849,0.00319,Jy,1979MNRAS.186p..29G,uncertainty,"   2.19    microns   "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
213,"K (AAO)             ",9.81,,"mag                 ",1.37E14,0.0774,,Jy,1982MNRAS.199..943H,no uncertainty reported,"   2.19    microns   "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
214,"K (RGO)             ",9.71,0.04,"mag                 ",1.37E14,0.0849,0.00319,Jy,1981MNRAS.194..795G,uncertainty,"   2.19    microns   "," Broad-band measurement",," Flux in fixed aperture","12"" aperture                            ",From new raw data
215,"2.2 microns         ",0.094,0.01,"Jy                  ",1.36E14,0.094,0.01,Jy,1972ApJ...176L..95R,1 sigma,"       2.2 microns   "," Broad-band measurement",," Flux in fixed aperture","6"" aperture                             ",From new raw data
216,"2.2 microns         ",0.09,0.04,"Jy                  ",1.36E14,0.09,0.04,Jy,1970ApJ...159L.165K,no uncertainty reported,"       2.2 microns   "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
217,"2.2 microns         ",0.18,0.07,"Jy                  ",1.36E14,0.18,0.07,Jy,1970ApJ...159L.165K,no uncertainty reported,"       2.2 microns   "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
218,"log nu(Hz) 14.134   ",1.93,0.01,"log f_nu (milliJy)  ",1.36E14,0.0851,0.00198,Jy,1979ApJ...230...79N,uncertainty,14.13      log nu(Hz)," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
219,"2.2 microns         ",1.91,0.03,"log milliJy         ",1.36E14,0.0813,0.00542,Jy,1987ApJS...63..615N,estimated error,"2.2        microns   "," Broad-band measurement",," Flux in fixed aperture","5"".5 aperture, 1976 May 13              ",From new raw data; Standard Caltech JHKL filters assumed
220,"2.2 microns         ",1.9,0.03,"log milliJy         ",1.36E14,0.0794,0.0053,Jy,1987ApJS...63..615N,estimated error,"2.2        microns   "," Broad-band measurement",," Flux in fixed aperture","5"".5 aperture, 1977 May 29              ",From new raw data; Standard Caltech JHKL filters assumed
221,"2.2 microns         ",1.91,0.03,"log milliJy         ",1.36E14,0.0813,0.00542,Jy,1987ApJS...63..615N,estimated error,"2.2        microns   "," Broad-band measurement",," Flux in fixed aperture","5"".5 aperture, 1985 Jun  5              ",From new raw data; Standard Caltech JHKL filters assumed
222,"2.2 microns         ",1.92,0.03,"log milliJy         ",1.36E14,0.0832,0.00556,Jy,1987ApJS...63..615N,estimated error,"2.2        microns   "," Broad-band measurement",," Flux in fixed aperture","5"".5 aperture, 1979 Jul  3              ",From new raw data; Standard Caltech JHKL filters assumed
223,"2.2 microns         ",1.95,0.03,"log milliJy         ",1.36E14,0.0891,0.00595,Jy,1987ApJS...63..615N,estimated error,"2.2        microns   "," Broad-band measurement",," Flux in fixed aperture","5"".5 aperture, 1981 May 11              ",From new raw data; Standard Caltech JHKL filters assumed
224,"K                   ",9.71,0.06,"mag                 ",1.36E14,0.0897,0.00496,Jy,1994ApJS...95....1E,uncertainty,"    2.20   microns   "," Broad-band measurement",," Flux in fixed aperture","1988; MMT; Beam = 5""                    ",From new raw data
225,"K                   ",9.78,0.04,"mag                 ",1.36E14,0.0841,0.0031,Jy,1994ApJS...95....1E,uncertainty,"    2.20   microns   "," Broad-band measurement",," Flux in fixed aperture","1988; IRTF; Beam = 6""                   ",From new raw data
226,"2.2 microns         ",1.95,0.04,"log milliJy         ",1.36E14,0.0891,0.00785,Jy,1987ApJS...63..615N,estimated error,"2.2        microns   "," Broad-band measurement",," Flux in fixed aperture","5"".5 aperture, 1981 Jul 22              ",From new raw data; Standard Caltech JHKL filters assumed
227,"2.2 microns         ",1.99,0.04,"log milliJy         ",1.36E14,0.0977,0.0086,Jy,1987ApJS...63..615N,estimated error,"2.2        microns   "," Broad-band measurement",," Flux in fixed aperture","5"".5 aperture, 1983 Jul 25              ",From new raw data; Standard Caltech JHKL filters assumed
228,"K (ESO/SPM)         ",73.1,4.87,"milliJy             ",1.36E14,0.0731,0.00487,Jy,1995ApJ...453..616S,rms uncertainty,"2.210      microns   "," Broad-band measurement",122634.1 +021937 (B1950)," Flux in fixed aperture","15"" aperture                            ",From new raw data
229,"K (Johnson)         ",112.8,2.9,"milliJy             ",1.35E14,0.113,0.0029,Jy,1983ApJS...52..341M,1 sigma,"   2.22    microns   "," Broad-band measurement",12 26 33.2 +02 19 43 (     )," Flux in fixed aperture","9.1"" aperture                           ",From new raw data
230,"K (Johnson)         ",0.127,,"Jy                  ",1.35E14,0.127,,Jy,1965ApJ...141..336L,no uncertainty reported,"      2.22 microns   "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
231,"K (Johnson)         ",9.73,0.04,"mag                 ",1.35E14,0.0855,0.00321,Jy,1976ApJ...207..367A,uncertainty,"   2.22    microns   "," Broad-band measurement",," Flux in fixed aperture","17"" aperture                            ",From new raw data
232,"K (Johnson)         ",96.8,2.2,"milliJy             ",1.35E14,0.0968,0.0022,Jy,1983ApJS...52..341M,1 sigma,"   2.22    microns   "," Broad-band measurement",12 26 33.2 +02 19 43 (     )," Flux in fixed aperture","15.8"" aperture                          ",From new raw data
233,"K (Mt. Lemmon)      ",9.68,0.06,"mag                 ",1.31E14,0.0792,0.0045,Jy,1978ApJ...224...22O,uncertainty,"   2.28    microns   "," Broad-band measurement",," Flux in fixed aperture","18"" aperture                            ",From new raw data
234,"K (Mt. Lemmon)      ",94.4,1.0,"milliJy             ",1.31E14,0.0944,0.0010,Jy,1982ApJ...259..486S,uncertainty,"   2.28    microns   "," Broad-band measurement",," Flux in fixed aperture","18"" aperture                            ",From new raw data; Extinction-corrected for Milky Way
235,"K                   ",9.69,0.04,"mag                 ",1.31E14,0.0785,0.00295,Jy,1978ApJS...38..267O,uncertainty,"   2.28    microns   "," Broad-band measurement",," Flux in fixed aperture","18"" aperture                            ",Averaged new and previously published data
236,"K (Mt. Lemmon)      ",9.7,0.04,"mag                 ",1.31E14,0.0778,0.00292,Jy,1978ApJ...224...22O,uncertainty,"   2.28    microns   "," Broad-band measurement",," Flux in fixed aperture","18"" aperture                            ",From new raw data
237,"K                   ",9.71,0.04,"mag                 ",1.31E14,0.0771,0.00289,Jy,1978ApJS...38..267O,uncertainty,"   2.28    microns   "," Broad-band measurement",," Flux in fixed aperture","9"" aperture                             ",Averaged new and previously published data
238,"N34                 ",8.23,0.06,"mag                 ",8.82E13,0.166,0.00917,Jy,1994ApJS...95....1E,uncertainty,"    3.40   microns   "," Broad-band measurement",," Flux in fixed aperture","1988; MMT; Beam = 5""                    ",From new raw data
239,"log nu(Hz) 13.934   ",2.19,0.01,"log f_nu (milliJy)  ",8.59E13,0.155,0.00361,Jy,1979ApJ...230...79N,uncertainty,13.93      log nu(Hz)," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
240,"3.7 microns         ",2.18,0.04,"log milliJy         ",8.57E13,0.151,0.0134,Jy,1987ApJS...63..615N,estimated error,"3.5        microns   "," Broad-band measurement",," Flux in fixed aperture","5"".5 aperture, 1976 May 13              ",From new raw data; Standard Caltech JHKL filters assumed
241,"3.7 microns         ",2.26,0.05,"log milliJy         ",8.57E13,0.182,0.0198,Jy,1987ApJS...63..615N,estimated error,"3.5        microns   "," Broad-band measurement",," Flux in fixed aperture","5"".5 aperture, 1983 Jul 25              ",From new raw data; Standard Caltech JHKL filters assumed
242,"3.7 microns         ",2.06,0.03,"log milliJy         ",8.57E13,0.115,0.00765,Jy,1987ApJS...63..615N,estimated error,"3.5        microns   "," Broad-band measurement",," Flux in fixed aperture","5"".5 aperture, 1977 May 29              ",From new raw data; Standard Caltech JHKL filters assumed
243,"3.7 microns         ",2.0,0.06,"log milliJy         ",8.57E13,0.1,0.0129,Jy,1987ApJS...63..615N,estimated error,"3.5        microns   "," Broad-band measurement",," Flux in fixed aperture","5"".5 aperture, 1979 Jul  3              ",From new raw data; Standard Caltech JHKL filters assumed
244,"3.7 microns         ",2.17,0.03,"log milliJy         ",8.57E13,0.148,0.00986,Jy,1987ApJS...63..615N,estimated error,"3.5        microns   "," Broad-band measurement",," Flux in fixed aperture","5"".5 aperture, 1985 Jun  5              ",From new raw data; Standard Caltech JHKL filters assumed
245,"3.7 microns         ",2.18,0.03,"log milliJy         ",8.57E13,0.151,0.0101,Jy,1987ApJS...63..615N,estimated error,"3.5        microns   "," Broad-band measurement",," Flux in fixed aperture","5"".5 aperture, 1981 May 11              ",From new raw data; Standard Caltech JHKL filters assumed
246,"L (Mt. Lemmon)      ",148.0,3.0,"milliJy             ",8.57E13,0.148,0.0030,Jy,1982ApJ...259..486S,uncertainty,"   3.50    microns   "," Broad-band measurement",," Flux in fixed aperture","18"" aperture                            ",From new raw data; Extinction-corrected for Milky Way
247,"L                   ",8.27,0.07,"mag                 ",8.57E13,0.138,0.00918,Jy,1978ApJS...38..267O,uncertainty,"   3.5     microns   "," Broad-band measurement",," Flux in fixed aperture","9"" aperture                             ",Averaged new and previously published data
248,"3.5 microns         ",0.2,0.04,"Jy                  ",8.57E13,0.2,0.04,Jy,1972ApJ...176L..95R,1 sigma,"       3.5 microns   "," Broad-band measurement",," Flux in fixed aperture","6"" aperture                             ",From new raw data
249,"L                   ",8.31,0.07,"mag                 ",8.57E13,0.133,0.00884,Jy,1978ApJS...38..267O,uncertainty,"   3.5     microns   "," Broad-band measurement",," Flux in fixed aperture","18"" aperture                            ",Averaged new and previously published data
